"year","month","country","region","latitude","longitude","multiple","success","attack","target","weapon","num_kill","damages","kidnap","inter","death","bombs","bnm"
1970,"Apr","United States","North America",37.805065,-122.273024,"no","yes","Armed Assault","Police","Firearms",0,"Minor","no","no","no","no","no"
1970,"Apr","Puerto Rico","Central America",18.398731,-67.177238,"yes","no","Bombing/Explosion","Military","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Apr","Puerto Rico","Central America",18.379626,-67.188421,"yes","no","Bombing/Explosion","Telecommunication","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Apr","United States","North America",40.71455,-74.007124,"no","no","Assassination","Government (Diplomatic)","Firearms",0,"Minor","no","yes","no","no","no"
1970,"May","Puerto Rico","Central America",18.39677,-66.046608,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"May","United States","North America",40.8501,-73.866246,"yes","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"May","United States","North America",40.8501,-73.866246,"yes","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"May","United States","North America",40.1142,-88.243499,"no","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","no","no","no","no"
1970,"May","United States","North America",40.1142,-88.243499,"no","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","no","no","no","no"
1970,"May","United States","North America",40.65,-73.95,"no","yes","Facility/Infrastructure Attack","Educational Institution","Incendiary",0,"Minor","no","no","no","no","no"
1970,"May","United States","North America",29.76045,-95.369784,"no","yes","Bombing/Explosion","Telecommunication","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"May","United States","North America",41.58979,-93.615659,"no","yes","Bombing/Explosion","Police","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"May","United States","North America",42.025345,-93.620199,"no","yes","Bombing/Explosion","Police","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Jun","United States","North America",41.88415,-87.632409,"no","yes","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Jun","United States","North America",41.260675,-95.940469,"no","yes","Bombing/Explosion","Police","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Jun","United States","North America",41.58979,-93.615659,"no","yes","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Jun","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Jun","United States","North America",41.58979,-93.615659,"no","yes","Bombing/Explosion","Educational Institution","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Jul","United States","North America",38.89037,-77.031959,"no","yes","Bombing/Explosion","Private Citizens & Property","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Jul","United States","North America",38.89037,-77.031959,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Jul","United States","North America",38.89037,-77.031959,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Jul","United States","North America",38.89037,-77.031959,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Jul","United States","North America",38.89037,-77.031959,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Jul","United States","North America",41.260675,-95.940469,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Jul","United States","North America",47.60356,-122.329439,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Jul","United States","North America",40.71455,-74.007124,"no","no","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Jul","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Jul","United States","North America",43.939135,-90.820369,"no","yes","Bombing/Explosion","Military","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Jul","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Aug","United States","North America",37.97457,-122.532474,"no","yes","Hostage Taking (Kidnapping)","Government (General)","Firearms",4,"Minor","yes","no","yes","no","no"
1970,"Aug","United States","North America",45.511795,-122.675629,"no","yes","Facility/Infrastructure Attack","Government (General)","Incendiary",0,"Minor","no","no","no","no","no"
1970,"Aug","United States","North America",41.260675,-95.940469,"no","yes","Bombing/Explosion","Private Citizens & Property","Bombs",1,"Minor","no","no","yes","yes","no"
1970,"Aug","United States","North America",44.943829,-93.093326,"no","no","Bombing/Explosion","Police","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Aug","United States","North America",43.07295,-89.386694,"no","yes","Bombing/Explosion","Military","Bombs",1,"Major","no","no","yes","yes","no"
1970,"Aug","United States","North America",38.89037,-77.031959,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Sep","Greece","Western Europe",37.97918,23.716647,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",2,"Minor","no","yes","yes","yes","no"
1970,"Sep","United States","North America",42.811978,-70.872638,"no","yes","Bombing/Explosion","Military","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Sep","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Sep","United States","North America",40.8501,-73.866246,"no","yes","Bombing/Explosion","Military","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Sep","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Oct","United States","North America",41.88415,-87.632409,"no","yes","Bombing/Explosion","Private Citizens & Property","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Oct","United States","North America",47.60356,-122.329439,"no","yes","Bombing/Explosion","Military","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Oct","United States","North America",34.419255,-119.698869,"no","yes","Bombing/Explosion","Military","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Oct","United States","North America",37.97457,-122.532474,"no","yes","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Oct","West Germany (FRG)","Western Europe",48.777106,9.180769,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Oct","United States","North America",29.76045,-95.369784,"no","yes","Bombing/Explosion","Telecommunication","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Oct","United States","North America",40.713985,-73.829959,"no","yes","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Oct","United States","North America",42.36679,-71.106019,"no","yes","Bombing/Explosion","Educational Institution","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Oct","United States","North America",42.36679,-71.106019,"no","yes","Bombing/Explosion","Educational Institution","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Oct","Great Britain","Western Europe",51.500152,-0.126236,"no","yes","Facility/Infrastructure Attack","Airports & Aircraft","Incendiary",0,"Minor","no","yes","no","no","no"
1970,"Nov","Puerto Rico","Central America",18.46617,-66.106654,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Nov","Puerto Rico","Central America",18.46617,-66.106654,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Nov","Puerto Rico","Central America",18.46617,-66.106654,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Nov","Puerto Rico","Central America",18.46617,-66.106654,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1970,"Nov","Puerto Rico","Central America",18.46617,-66.106654,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1970,"Nov","West Germany (FRG)","Western Europe",50.111445,8.680615,"no","yes","Armed Assault","Military","Incendiary",0,"Minor","no","yes","no","no","no"
1970,"Dic","United States","North America",41.18188,-73.191269,"no","yes","Facility/Infrastructure Attack","NGO","Incendiary",0,"Minor","no","yes","no","no","no"
1970,"Dic","Spain","Western Europe",42.919882,-3.060073,"no","yes","Bombing/Explosion","Telecommunication","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Jan","United States","North America",40.71455,-74.007124,"no","yes","Facility/Infrastructure Attack","Government (Diplomatic)","Incendiary",0,"Minor","no","yes","no","no","no"
1971,"Jan","West Germany (FRG)","Western Europe",48.139126,11.580186,"no","no","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Feb","Puerto Rico","Central America",18.46617,-66.106654,"yes","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Feb","Puerto Rico","Central America",18.46617,-66.106654,"yes","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Feb","United States","North America",34.05349,-118.245319,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Mar","United States","North America",29.76045,-95.369784,"no","yes","Bombing/Explosion","Private Citizens & Property","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Mar","United States","North America",37.777125,-122.419644,"no","no","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Mar","United States","North America",40.71455,-74.007124,"no","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","yes","no","no","no"
1971,"Mar","Italy","Western Europe",45.463681,9.188171,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Mar","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Private Citizens & Property","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Apr","Spain","Western Europe",40.416691,-3.700345,"no","yes","Bombing/Explosion","Journalists & Media","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Apr","United States","North America",36.740685,-119.785734,"no","yes","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Apr","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Apr","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Tourists","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Apr","Puerto Rico","Central America",18.46617,-66.106654,"no","yes","Bombing/Explosion","Business","Bombs",3,"Minor","no","no","yes","yes","no"
1971,"Apr","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Apr","United States","North America",37.907625,-122.548169,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Apr","United States","North America",34.05349,-118.245319,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"May","United States","North America",41.657825,-91.526534,"no","yes","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"May","United States","North America",34.05349,-118.245319,"no","yes","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"May","United States","North America",34.185405,-118.131529,"no","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","no","no","no","no"
1971,"May","Greece","Western Europe",37.742578,20.896502,"no","yes","Armed Assault","Military","Incendiary",0,"Minor","no","yes","no","no","no"
1971,"May","United States","North America",40.71455,-74.007124,"no","yes","Armed Assault","Police","Firearms",0,"Minor","no","no","no","no","no"
1971,"Jun","United States","North America",40.8501,-73.866246,"no","yes","Armed Assault","Business","Firearms",1,"Minor","no","no","yes","no","no"
1971,"Jun","United States","North America",34.05349,-118.245319,"no","yes","Bombing/Explosion","Educational Institution","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Jul","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Jul","United States","North America",34.05349,-118.245319,"no","yes","Bombing/Explosion","Military","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Jul","United States","North America",34.01958,-118.116459,"no","yes","Facility/Infrastructure Attack","Educational Institution","Incendiary",0,"Minor","no","no","no","no","no"
1971,"Jul","United States","North America",34.05349,-118.245319,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Jul","United States","North America",34.05349,-118.245319,"no","yes","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Jul","United States","North America",34.05349,-118.245319,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Jul","United States","North America",37.777125,-122.419644,"no","yes","Hostage Taking (Kidnapping)","Business","Firearms",0,"Minor","no","no","no","no","no"
1971,"Jul","United States","North America",40.71455,-74.007124,"no","yes","Armed Assault","Government (Diplomatic)","Incendiary",0,"Minor","no","yes","no","no","no"
1971,"Jul","United States","North America",34.073485,-118.400344,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Aug","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Aug","United States","North America",40.737165,-74.030969,"no","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","yes","no","no","no"
1971,"Aug","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Aug","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Aug","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Aug","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Aug","United States","North America",40.71455,-74.007124,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Aug","Spain","Western Europe",40.416691,-3.700345,"no","yes","Bombing/Explosion","Airports & Aircraft","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Aug","Spain","Western Europe",40.416691,-3.700345,"no","yes","Bombing/Explosion","Airports & Aircraft","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Aug","Italy","Western Europe",41.89052,12.494249,"no","yes","Hijacking","Airports & Aircraft","Bombs",0,"Minor","no","yes","no","yes","yes"
1971,"Aug","United States","North America",38.579065,-121.491014,"yes","yes","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Aug","United States","North America",34.004995,-118.230244,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Aug","United States","North America",37.777125,-122.419644,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Aug","United States","North America",42.636876,-83.288425,"no","yes","Bombing/Explosion","Transportation","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Sep","United States","North America",42.651445,-73.755254,"no","yes","Bombing/Explosion","Government (General)","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Sep","United States","North America",45.511795,-122.675629,"no","yes","Bombing/Explosion","Military","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Oct","United States","North America",40.71455,-74.007124,"no","yes","Armed Assault","Government (Diplomatic)","Firearms",0,"Minor","no","yes","no","no","no"
1971,"Oct","United States","North America",40.654614,-73.559413,"no","yes","Facility/Infrastructure Attack","Educational Institution","Incendiary",0,"Minor","no","no","no","no","no"
1971,"Nov","Spain","Western Europe",41.364167,2.158056,"no","yes","Bombing/Explosion","Telecommunication","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Nov","United States","North America",34.05349,-118.245319,"no","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","no","no","no","no"
1971,"Dic","United States","North America",44.79808,-93.526664,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1971,"Dic","United States","North America",42.36679,-71.106019,"no","yes","Bombing/Explosion","Police","Bombs",0,"Minor","no","no","no","yes","yes"
1972,"Feb","Northern Ireland","Western Europe",54.597269,-5.930109,"no","yes","Bombing/Explosion","Military","Bombs",7,"Minor","no","no","yes","yes","no"
1972,"Feb","West Germany (FRG)","Western Europe",52.454306,13.144341,"no","yes","Bombing/Explosion","Maritime","Bombs",1,"Minor","no","yes","yes","yes","no"
1972,"Feb","Great Britain","Western Europe",51.248429,-0.755979,"no","yes","Bombing/Explosion","Military","Bombs",7,"Minor","no","yes","yes","yes","no"
1972,"Feb","Spain","Western Europe",40.416691,-3.700345,"no","yes","Bombing/Explosion","Journalists & Media","Bombs",0,"Minor","no","no","no","yes","yes"
1972,"Mar","Spain","Western Europe",40.416691,-3.700345,"no","yes","Bombing/Explosion","Transportation","Bombs",0,"Minor","no","no","no","yes","yes"
1972,"Mar","United States","North America",40.713985,-73.829959,"no","yes","Facility/Infrastructure Attack","Private Citizens & Property","Incendiary",0,"Minor","no","no","no","no","no"
1972,"Mar","United States","North America",40.8501,-73.866246,"no","yes","Hostage Taking (Kidnapping)","Business","Firearms",0,"Minor","no","no","no","no","no"
1972,"Apr","United States","North America",34.05349,-118.245319,"no","yes","Bombing/Explosion","Private Citizens & Property","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"Apr","United States","North America",33.882745,-118.122289,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1972,"May","West Germany (FRG)","Western Europe",48.139126,11.580186,"no","yes","Bombing/Explosion","Police","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"May","West Germany (FRG)","Western Europe",53.553813,9.991586,"no","yes","Bombing/Explosion","Journalists & Media","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"May","United States","North America",33.871124,-117.861401,"no","yes","Facility/Infrastructure Attack","Educational Institution","Incendiary",0,"Minor","no","no","no","no","no"
1972,"May","Puerto Rico","Central America",18.460791,-66.264884,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","no","no","yes","yes"
1972,"May","France","Western Europe",48.856614,2.352222,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"May","France","Western Europe",48.856614,2.352222,"no","yes","Bombing/Explosion","Airports & Aircraft","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"May","France","Western Europe",48.856614,2.352222,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"Jun","South Vietnam","Southeast Asia",13.977956,108.002298,"no","yes","Bombing/Explosion","Airports & Aircraft","Bombs",81,"Major","no","yes","yes","yes","no"
1972,"Aug","Italy","Western Europe",45.65363,13.778407,"no","yes","Bombing/Explosion","Utilities","Bombs",0,"Major","no","yes","no","yes","yes"
1972,"Aug","Italy","Western Europe",41.89052,12.494249,"no","yes","Bombing/Explosion","Airports & Aircraft","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"Aug","United States","North America",40.71455,-74.007124,"yes","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","yes","no","no","no"
1972,"Aug","United States","North America",40.71455,-74.007124,"yes","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","yes","no","no","no"
1972,"Aug","United States","North America",40.71455,-74.007124,"yes","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","yes","no","no","no"
1972,"Aug","United States","North America",40.71455,-74.007124,"yes","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","yes","no","no","no"
1972,"Aug","United States","North America",40.71455,-74.007124,"yes","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","yes","no","no","no"
1972,"Sep","West Germany (FRG)","Western Europe",48.139126,11.580186,"no","yes","Assassination","Private Citizens & Property","Firearms",16,"Minor","yes","yes","yes","no","no"
1972,"Sep","United States","North America",34.05349,-118.245319,"no","yes","Bombing/Explosion","Private Citizens & Property","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"Sep","United States","North America",40.8501,-73.866246,"no","yes","Hostage Taking (Kidnapping)","Business","Firearms",0,"Minor","no","no","no","no","no"
1972,"Oct","Algeria","Middle East",36.7525,3.04197,"no","yes","Hostage Taking (Barricade Incident)","Government (Diplomatic)","Firearms",0,"Minor","yes","yes","no","no","no"
1972,"Oct","France","Western Europe",48.856614,2.352222,"no","no","Bombing/Explosion","Airports & Aircraft","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"Nov","Spain","Western Europe",41.656285,-0.876533,"no","yes","Bombing/Explosion","Government (Diplomatic)","Bombs",1,"Minor","no","yes","yes","yes","no"
1972,"Nov","El Salvador","Central America",13.69288,-89.199161,"no","yes","Bombing/Explosion","Airports & Aircraft","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"Dic","Italy","Western Europe",45.463681,9.188171,"no","yes","Bombing/Explosion","Tourists","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"Dic","United States","North America",25.728985,-80.237419,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"Dic","United States","North America",40.71455,-74.007124,"yes","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"Dic","United States","North America",40.71455,-74.007124,"yes","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1972,"Dic","United States","North America",40.71455,-74.007124,"yes","yes","Facility/Infrastructure Attack","Business","Incendiary",0,"Minor","no","yes","no","no","no"
1972,"Dic","Thailand","Southeast Asia",13.727896,100.524123,"no","yes","Hostage Taking (Barricade Incident)","Government (Diplomatic)","Firearms",0,"Minor","yes","yes","no","no","no"
1972,"Dic","United States","North America",40.65,-73.95,"no","yes","Hostage Taking (Kidnapping)","Business","Firearms",0,"Minor","yes","no","no","no","no"
1972,"Dic","United States","North America",29.95369,-90.077714,"no","yes","Armed Assault","Police","Firearms",2,"Minor","no","no","yes","no","no"
1973,"Jan","West Germany (FRG)","Western Europe",49.4447,7.769004,"no","yes","Armed Assault","Business","Firearms",1,"Minor","no","yes","yes","no","no"
1973,"Jan","Italy","Western Europe",43.627726,10.291712,"no","yes","Armed Assault","Military","Incendiary",0,"Minor","no","yes","no","no","no"
1973,"Jan","France","Western Europe",48.856614,2.352222,"no","yes","Bombing/Explosion","Business","Bombs",0,"Minor","no","yes","no","yes","yes"
1973,"Feb","Greece","Western Europe",37.97918,23.716647,"no","yes","Armed Assault","Military","Incendiary",0,"Minor","no","yes","no","no","no"
1973,"Feb","Great Britain","Western Europe",51.500152,-0.126236,"no","yes","Hostage Taking (Barricade Incident)","Government (General)","Firearms",2,"Minor","yes","yes","yes","no","no"
1973,"Feb","United States","North America",43.149027,-102.34799,"no","yes","Hostage Taking (Barricade Incident)","Private Citizens & Property","Firearms",2,"Minor","yes","no","yes","no","no"
1973,"Mar","Spain","Western Europe",41.387917,2.169919,"no","yes","Armed Assault","Business","Firearms",1,"Minor","no","no","yes","no","no"
1973,"Mar","United States","North America",40.71455,-74.007124,"no","yes","Armed Assault","Police","Firearms",0,"Minor","no","no","no","no","no"
1973,"Mar","West Germany (FRG)","Western Europe",50.111445,8.680615,"no","yes","Facility/Infrastructure Attack","Government (Diplomatic)","Incendiary",0,"Minor","no","yes","no","no","no"
1973,"Apr","Italy","Western Europe",41.89052,12.494249,"no","yes","Bombing/Explosion","Military","Bombs",0,"Minor","no","yes","no","yes","yes"
